gene_name,GO_Term,ensembl_gene_id
Ier3,MITOCHONDRIA,ENSMUSG00000003541
Ifng,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000055170
Iigp1,APOPTOSIS,ENSMUSG00000054072
Il18r1,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000026070
Il6ra,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000027947
Il6st,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000021756
Inpp5f,LIPID CATABOLISM,ENSMUSG00000042105
Irf1,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000018899
Irgm1,MITOCHONDRIA,ENSMUSG00000046879
Irgm2,MITOCHONDRIA,ENSMUSG00000069874
Itgb7,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000001281
Itpkb,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000038855
Kmo,CARBOXYLIC ACID,ENSMUSG00000039783
Lax1,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000051998
Lgals8,APOPTOSIS,ENSMUSG00000057554
Lipg,LIPID CATABOLISM,ENSMUSG00000053846
Lmbr1l,APOPTOSIS,ENSMUSG00000022999
Lrba,MITOCHONDRIA,ENSMUSG00000028080
Lrch1,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000068015
Lrrc32,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000090958
Lrrk2,APOPTOSIS,ENSMUSG00000036273
Lyst,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000019726
March5,MITOCHONDRIA,ENSMUSG00000023307
Mff,MITOCHONDRIA,ENSMUSG00000026150
Mff,MITOCHONDRIA,ENSMUSG00000026150
Mgarp,MITOCHONDRIA,ENSMUSG00000037161
Mgll,LIPID CATABOLISM,ENSMUSG00000033174
Mns1,CELL CYCLE,ENSMUSG00000032221
Mpv17l,MITOCHONDRIA,ENSMUSG00000022679
Mtap,CARBOXYLIC ACID,ENSMUSG00000062937
Mtm1,APOPTOSIS,ENSMUSG00000031337
Myb,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000019982
Noa1,MITOCHONDRIA,ENSMUSG00000036285
Nod1,APOPTOSIS,ENSMUSG00000038058
Nol3,MITOCHONDRIA,ENSMUSG00000014776
Nupr1,APOPTOSIS,ENSMUSG00000030717
Ogt,MITOCHONDRIA,ENSMUSG00000034160
Opa1,MITOCHONDRIA,ENSMUSG00000038084
Osm,CELL CYCLE,ENSMUSG00000058755
Pacs2,APOPTOSIS,ENSMUSG00000021143
Pag1,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000027508
Pdcd5,MITOCHONDRIA,ENSMUSG00000030417
Peli1,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000020134
Prf1,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000037202
Pik3cg,LIPID CATABOLISM,ENSMUSG00000020573
Pink1,APOPTOSIS,ENSMUSG00000028756
Pink1,MITOCHONDRIA,ENSMUSG00000028756
Plaur,MITOCHONDRIA,ENSMUSG00000046223
Pld1,LIPID CATABOLISM,ENSMUSG00000027695
Plec,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000022565
Plod3,CARBOXYLIC ACID,ENSMUSG00000004846
Pnpt1,MITOCHONDRIA,ENSMUSG00000020464
Pola1,CELL CYCLE,ENSMUSG00000006678
Pola2,CELL CYCLE,ENSMUSG00000024833
Prkcz,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000029053
Prkn,MITOCHONDRIA,ENSMUSG00000023826
Psph,CARBOXYLIC ACID,ENSMUSG00000029446
Ptcra,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000036858
Ptges3,CARBOXYLIC ACID,ENSMUSG00000071072
Rab19,APOPTOSIS,ENSMUSG00000029923
Rad1,CELL CYCLE,ENSMUSG00000022248
Rasal3,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000052142
Rasgrp1,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000027347
Rbbp8,CELL CYCLE,ENSMUSG00000041238
Rfc1,CELL CYCLE,ENSMUSG00000029191
Rfc3,CELL CYCLE,ENSMUSG00000033970
Rfc4,CELL CYCLE,ENSMUSG00000022881
Ripor2,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000036006
Rora,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000032238
Rptor,APOPTOSIS,ENSMUSG00000025583
Rragd,APOPTOSIS,ENSMUSG00000028278
Rubcn,APOPTOSIS,ENSMUSG00000035629
Runx1,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000022952
S1pr1,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000045092
Sephs2,CARBOXYLIC ACID,ENSMUSG00000049091
Sesn1,APOPTOSIS,ENSMUSG00000038332
Sesn3,APOPTOSIS,ENSMUSG00000032009
Sgpl1,LIPID CATABOLISM,ENSMUSG00000020097
Sirt1,CARBOXYLIC ACID,ENSMUSG00000020063
Slc25a33,MITOCHONDRIA,ENSMUSG00000028982
Slfn1,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000078763
Smad7,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000025880
Smarca2,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000024921
Smpdl3b,LIPID CATABOLISM,ENSMUSG00000028885
Smurf1,APOPTOSIS,ENSMUSG00000038780
Spire1,CELL CYCLE,ENSMUSG00000024533
Spta1,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000026532
Sqstm1,APOPTOSIS,ENSMUSG00000015837
Stard4,CARBOXYLIC ACID,ENSMUSG00000024378
Suv39h2,CELL CYCLE,ENSMUSG00000026646
Syk,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000021457
Tafazzin,APOPTOSIS,ENSMUSG00000009995
Tbc1d17,APOPTOSIS,ENSMUSG00000038520
Tgfbr2,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000032440
Tigar,MITOCHONDRIA,ENSMUSG00000038028
Timm29,MITOCHONDRIA,ENSMUSG00000048429
Tnfaip3,APOPTOSIS,ENSMUSG00000019850
Tnfaip8l2,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000013707
Tnfrsf14,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000042333
Tnfsf10,MITOCHONDRIA,ENSMUSG00000039304
Tnfsf4,APOPTOSIS,ENSMUSG00000026700
Tox,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000041272
Tpcn2,APOPTOSIS,ENSMUSG00000048677
Trim12a,APOPTOSIS,ENSMUSG00000066258
Trip13,CELL CYCLE,ENSMUSG00000021569
Trp53inp1,APOPTOSIS,ENSMUSG00000028211
Tsc1,APOPTOSIS,ENSMUSG00000026812
Tsc22d3,APOPTOSIS,ENSMUSG00000031431
Tspan32,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000000244
Ttk,CELL CYCLE,ENSMUSG00000038379
Vps13d,MITOCHONDRIA,ENSMUSG00000020220
Vps13d,APOPTOSIS,ENSMUSG00000020220
Vps4a,APOPTOSIS,ENSMUSG00000031913
Vsir,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000020101
Xlr5a,CELL CYCLE,ENSMUSG00000058328
Xlr5b,CELL CYCLE,ENSMUSG00000072479
Zfp35,NEGATIVE REGULATION OF T CELL ACTIVATION,ENSMUSG00000063281
