gene_name,GO_Term
Pag1,NEGATIVE REGULATION OF T CELL ACTIVATION
Cd1d1,NEGATIVE REGULATION OF T CELL ACTIVATION
Prkcz,NEGATIVE REGULATION OF T CELL ACTIVATION
Clec2i,NEGATIVE REGULATION OF T CELL ACTIVATION
Tgfbr2,NEGATIVE REGULATION OF T CELL ACTIVATION
Ripor2,NEGATIVE REGULATION OF T CELL ACTIVATION
Card11,NEGATIVE REGULATION OF T CELL ACTIVATION
H2-aa,NEGATIVE REGULATION OF T CELL ACTIVATION
Cyld,NEGATIVE REGULATION OF T CELL ACTIVATION
H2-dma,NEGATIVE REGULATION OF T CELL ACTIVATION
Cd81,NEGATIVE REGULATION OF T CELL ACTIVATION
Itpkb,NEGATIVE REGULATION OF T CELL ACTIVATION
Dusp10,NEGATIVE REGULATION OF T CELL ACTIVATION
Ctsg,NEGATIVE REGULATION OF T CELL ACTIVATION
Tox,NEGATIVE REGULATION OF T CELL ACTIVATION
H2-ob,NEGATIVE REGULATION OF T CELL ACTIVATION
Tnfrsf14,NEGATIVE REGULATION OF T CELL ACTIVATION
Lax1,NEGATIVE REGULATION OF T CELL ACTIVATION
Rasal3,NEGATIVE REGULATION OF T CELL ACTIVATION
Zfp35,NEGATIVE REGULATION OF T CELL ACTIVATION
Cd80,NEGATIVE REGULATION OF T CELL ACTIVATION
Slfn1,NEGATIVE REGULATION OF T CELL ACTIVATION
Lrrc32,NEGATIVE REGULATION OF T CELL ACTIVATION
H2-m3,NEGATIVE REGULATION OF T CELL ACTIVATION
Dock2,NEGATIVE REGULATION OF T CELL ACTIVATION
Ctsl,NEGATIVE REGULATION OF T CELL ACTIVATION
Il18r1,NEGATIVE REGULATION OF T CELL ACTIVATION
Il6ra,NEGATIVE REGULATION OF T CELL ACTIVATION
Rora,NEGATIVE REGULATION OF T CELL ACTIVATION
Fut7,NEGATIVE REGULATION OF T CELL ACTIVATION
Gpr183,NEGATIVE REGULATION OF T CELL ACTIVATION
Ahr,NEGATIVE REGULATION OF T CELL ACTIVATION
Lyst,NEGATIVE REGULATION OF T CELL ACTIVATION
Cd8a,NEGATIVE REGULATION OF T CELL ACTIVATION
H2-t10,NEGATIVE REGULATION OF T CELL ACTIVATION
Gm11127,NEGATIVE REGULATION OF T CELL ACTIVATION
Itgb7,NEGATIVE REGULATION OF T CELL ACTIVATION
Plec,NEGATIVE REGULATION OF T CELL ACTIVATION
S1pr1,NEGATIVE REGULATION OF T CELL ACTIVATION
Lrch1,NEGATIVE REGULATION OF T CELL ACTIVATION
Echdc1,LIPID CATABOLISM
Sgpl1,LIPID CATABOLISM
Pik3cg,LIPID CATABOLISM
Galc,LIPID CATABOLISM
Acox2,LIPID CATABOLISM
Crat,LIPID CATABOLISM
Pld1,LIPID CATABOLISM
Cpt2,LIPID CATABOLISM
Smpdl3b,LIPID CATABOLISM
Mgll,LIPID CATABOLISM
Gm28042,LIPID CATABOLISM
Inpp5f,LIPID CATABOLISM
Lipg,LIPID CATABOLISM
Gdpd1,LIPID CATABOLISM
Plod3,CARBOXYLIC ACID
Aldh1a3,CARBOXYLIC ACID
Sirt1,CARBOXYLIC ACID
Stard4,CARBOXYLIC ACID
Fads2,CARBOXYLIC ACID
Aasdhppt,CARBOXYLIC ACID
Psph,CARBOXYLIC ACID
Hacd3,CARBOXYLIC ACID
Kmo,CARBOXYLIC ACID
Elovl6,CARBOXYLIC ACID
Gls2,CARBOXYLIC ACID
Sephs2,CARBOXYLIC ACID
Mtap,CARBOXYLIC ACID
Hacd1,CARBOXYLIC ACID
Ptges3,CARBOXYLIC ACID
Ccne1,CELL CYCLE
Hormad2,CELL CYCLE
Trip13,CELL CYCLE
Rad1,CELL CYCLE
Spire1,CELL CYCLE
Suv39h2,CELL CYCLE
Bub1,CELL CYCLE
Ccne2,CELL CYCLE
Mns1,CELL CYCLE
Ttk,CELL CYCLE
Exo1,CELL CYCLE
Rbbp8,CELL CYCLE
Espl1,CELL CYCLE
Xlr5a,CELL CYCLE
Osm,CELL CYCLE
Pola1,CELL CYCLE
Pola2,CELL CYCLE
Rcf1,CELL CYCLE
Rcf3,CELL CYCLE
Rcf4,CELL CYCLE
Ezh2,CELL CYCLE
Xlr5b,CELL CYCLE
Cntd1,CELL CYCLE
Hk2,MITOCHONDRIA
Ier3,MITOCHONDRIA
Nol3,MITOCHONDRIA
Mpv17l,MITOCHONDRIA
Prkn,MITOCHONDRIA
Pdcd5,MITOCHONDRIA
Bag3,MITOCHONDRIA
Chchd4,MITOCHONDRIA
Mgarp,MITOCHONDRIA
Bag4,MITOCHONDRIA
Timm29,MITOCHONDRIA
Atpif1,MITOCHONDRIA
Tigar,MITOCHONDRIA
Tnfsf10,MITOCHONDRIA
Plaur,MITOCHONDRIA
Actn3,MITOCHONDRIA
Pnpt1,MITOCHONDRIA
Ak4,MITOCHONDRIA
Slc25a33,MITOCHONDRIA
Noa1,MITOCHONDRIA
Adcy1,MITOCHONDRIA
Ambra,MITOCHONDRIA
Adcy3,MITOCHONDRIA
Irgm1,MITOCHONDRIA
Irgm2,MITOCHONDRIA
Lrb,MITOCHONDRIA
Ogt,MITOCHONDRIA
Pink1,MITOCHONDRIA
Vps13d,MITOCHONDRIA
Cpt1a,MITOCHONDRIA
Acadvl,MITOCHONDRIA
Opa1,MITOCHONDRIA
Mff,MITOCHONDRIA
Dnm1l,MITOCHONDRIA
Mff,MITOCHONDRIA
March5,MITOCHONDRIA
Spire,MITOCHONDRIA
